,key,review
0,Inability to save payments,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time."
1,Issues with GXS apps linked to Grab app,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.
2,Receiving email invites from GXS,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy"
3,Request for SingPass sign in feature,could you add a way to sign in using singpass password instead of only having to use the app?
4,Lack of transparency and access to funds,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel."
5,Lack of transparency and access to funds,Unable to sign in to account
6,Authenticity concerns,Is this really an authentic app for GXS? Looks cheap.
7,Inability to join or open account,"useless app.  unable to join or open account,
app is not open to all in sg"
8,Digital savings bank account issues,Very good digital savings bank account that helps grow our funds.
9,Digital savings bank account issues,Seems to be full. Unable to sign up. Uninstalling since it is the case.
10,Digital savings bank account issues,Am trying to redo application. So i closed account. Now cannot re open. Quote lost in space
11,Digital savings bank account issues,Firstly i can't even log in shows some error n stuff haiz
12,Digital savings bank account issues,Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic 😍
13,Digital savings bank account issues,I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all..
14,Digital savings bank account issues,Tried multiple times still unable to sign up....
15,Digital savings bank account issues,All early sign up slots taken? I thought it's already open for all to sign up ?
16,Digital savings bank account issues,Download already can't even open the file.
17,Digital savings bank account issues,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother"
18,Digital savings bank account issues,"Sign up failed without given a reason. Ask to see FAQ but click it doesn't link to it. Hello! I don't know where you guys are heading. If you don't want people to sign up, just cross out at the beginning, are you trying to gather personal data???!!!!!"
19,Digital savings bank account issues,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!
20,Digital savings bank account issues,Needs a feature to save payees
21,Digital savings bank account issues,Apps easy to use and easy transfer
22,Digital savings bank account issues,Can't even open the app after downloaded it....try redownload it a few time also same
23,Digital savings bank account issues,I can't sign up at all!!!! It just go blank after I click up with singpass
24,Digital savings bank account issues,Unable to sign up using singpass after multiple times.
25,Digital savings bank account issues,Waste time download. Keep repeat to login my Singpass
26,Digital savings bank account issues,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app"
27,Digital savings bank account issues,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass
28,Digital savings bank account issues,Worst apps everything also no resolve well
29,Digital savings bank account issues,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!
30,Digital savings bank account issues,First time checking out on dis and didnt know grab came with this and enhanced features was super accessible indeed within mins i was able.to withdraw e.loan even though e security was quite super securable which i liked.thank u for making things affordable and reachable for difficult times for mummies👌🙏🥰🌹
31,Digital savings bank account issues,Its a simple bank app to help you save and transfer your daily needs. Just dont split screen or use another app when using it.
32,Digital savings bank account issues,"If you not ready, dont waste everbody's time and effort to install your app! Before launch your app rating is 2.5, you guys are really clueless! (Dec.20) - they opened my Saving Account with cap of $5K, are you kidding me? Running a bank or school project?"
33,Digital savings bank account issues,"If your bank is not ready for the public, you shouldn't even shout out you are ready. Unlike Trust, you download the app and they are really to accept application sign up. Super disappointed and how to trust my fund with your organisation?"
34,Digital savings bank account issues,They shouldn't launch the app if it is not ready. Super misleading news published on Aug 31.
35,Digital savings bank account issues,"Can not download yet, just always show pending......"
36,SingPass sign in problems,Unable to sign up using singpass after multiple times.
37,SingPass sign in problems,"Tried to sign up using singpass. After approve and redirect to the app, it still keep asking me to sign up.. useless app"
38,SingPass sign in problems,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass
39,App crashing and freezing,"I wish we can put a 0 star for it. Make you create an account, wait for it only to tell you that it is full while others cut queue to have the account created while you continue to wait. Probably just out to farm your data. Dont bother"
40,App crashing and freezing,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!
41,Scan QR code failure,Scan QR feature failed big time! Parsed 16.2 as 16.02! Amatuer mistake. Did the developer of this feature attend more than a day of class in CS?!
42,Lack of customer support,Worst apps everything also no resolve well
43,Others,save ur money and grow
44,Others,"Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions."
45,Others,Cannot open the apps. Why partner with Grab? Useless app
46,Others,"An absolutely rubbish apps, with zero chance of getting loan approval, totally useless"
