,Topic_Name,NPS_Score
0,User Interface,3.03
1,Money Growth (Interest Rates),28.21
2,Login & Account Setup,-42.31
3,App Responsiveness,-6.06
4,Customer trust,-13.89
5,Customer Services,-55.0
6,Safety,4.0
7,Credit card usage,-54.17
8,Money Growth (Interest Rates) & Customer trust,100.0
9,Competition,-8.7
10,Money Growth (Interest Rates) & Credit card usage,66.67
11,App Responsiveness & Customer Services,-50.0
12,App Responsiveness & Customer trust,100.0
13,Money Growth (Interest Rates) & Safety,-100.0
14,Services & Products,-33.33
15,Services & Products & Credit card usage,-100.0
16,Services & Products & Safety,0.0
17,App Responsiveness & Money Growth (Interest Rates),100.0
18,Money Growth (Interest Rates) & Customer Services,100.0
19,Money Growth (Interest Rates) & Services & Products,100.0
20,Customer Services & Competition,-100.0
21,Services & Products & User Interface,-100.0
